time,plosses,line,phase
10982,780.0,0.0,LINE24,1.0
10983,780.0,8.004405574072973e-06,LINE6,1.0
10984,780.0,1.1804793539015668,LINE43,3.0
10985,780.0,0.0,LINE20,3.0
10986,780.0,130.88784219680102,LINE2,3.0
10987,780.0,10.826416643864137,LINE7,3.0
10988,780.0,1.2153288428474893,LINE30,3.0
10989,780.0,1.0861473360806304,LINE36,1.0
10990,780.0,1.504632769052528e-35,LINE43,2.0
10991,780.0,4.553346483334744,LINE22,1.0
10992,780.0,-1.2407709188292359e-24,LINE12,3.0
10993,780.0,-2.350988701644575e-38,LINE30,2.0
10994,780.0,0.0,LINE25,2.0
10995,780.0,0.0,LINE31,1.0
10996,780.0,0.2584075153741024,LINE46,1.0
10997,780.0,29.53641452019731,LINE7,1.0
10998,790.0,4.515277443823892e-06,LINE37,2.0
10999,790.0,0.0,LINE35,3.0
11000,790.0,2.067951531382428e-24,LINE12,3.0
11001,790.0,14.702596090360418,LINE7,2.0
11002,790.0,0.0,LINE40,3.0
11003,790.0,6.120111015124012,LINE33,3.0
11004,790.0,6.141775635096218,LINE36,2.0
11005,790.0,0.028129994483617957,LINE25,3.0
11006,790.0,-1.1754943508222875e-37,LINE46,2.0
11007,790.0,0.0,LINE25,2.0
11008,790.0,0.12222551119643069,LINE41,2.0
11009,790.0,1.0285575569695016e-38,LINE47,2.0
11010,790.0,-2.0679515313853904e-25,LINE23,2.0
11011,790.0,0.8495830323178847,LINE38,1.0
11012,790.0,-0.002437707943321999,LINE32,3.0
11013,790.0,0.0,LINE46,3.0
11014,790.0,89.4049362302854,LINE2,2.0
11015,790.0,1.1754943508222875e-38,LINE26,3.0
11016,790.0,2.3470944422354965,LINE23,1.0
11017,790.0,-8.271806125529336e-25,LINE10,3.0
11018,790.0,2.0854498780337476,LINE1,3.0
11019,790.0,3.5891118437263954,LINE44,2.0
11020,790.0,3.722312756488648e-24,LINE12,1.0
11021,790.0,3.308722450212146e-24,LINE8,1.0
11022,790.0,0.0,LINE41,3.0
11023,790.0,4.892680550705782,LINE22,1.0
11024,790.0,0.0,LINE21,1.0
11025,790.0,8.01771013692586e-06,LINE6,1.0
11026,790.0,15.97591918748521,LINE11,3.0
11027,790.0,13.467426284534797,LINE9,3.0
11028,790.0,1.1262990380917222,LINE16,1.0
11029,790.0,-1.1754943508222875e-38,LINE40,1.0
11030,790.0,0.7348852111721655,LINE24,3.0
11031,790.0,5.763755842607483,LINE4,1.0
11032,790.0,17.998784380226425,LINE5,3.0
11033,790.0,2.6310715280632384,LINE37,1.0
11034,790.0,0.2970949284984537,LINE21,2.0
11035,790.0,1.3401928933964005,LINE30,3.0
11036,790.0,4.321063523318903,LINE32,2.0
11037,790.0,0.6085626129211886,LINE17,1.0
11038,790.0,4.844121659439002,LINE28,1.0
11039,790.0,0.0,LINE16,3.0
11040,790.0,-3.5264830524668625e-38,LINE30,2.0
11041,790.0,0.0007748679280769495,LINE38,3.0
11042,790.0,-9.183549615798862e-41,LINE34,3.0
11043,790.0,2.6016135134429645,LINE39,2.0
11044,790.0,0.0020898135129015062,LINE36,3.0
11045,790.0,1.2407709188300117e-24,LINE23,3.0
11046,790.0,0.5395208137445436,LINE35,1.0
11047,790.0,3.0212888276312024,LINE28,3.0
