time,load,Pd,Qd
205,90.0,LOAD4,22.0,-2.2799
206,90.0,LOAD16,183.0,200.8074
207,100.0,LOAD17,46.0,-1.9949
208,100.0,LOAD3,193.0,211.0823
209,100.0,LOAD13,43.0,-2.4224
210,100.0,LOAD9,68.0,-1.8868
211,100.0,LOAD4,22.0,-2.2799
212,100.0,LOAD18,238.0,215.0984
213,100.0,LOAD1,46.0,-1.9949
214,100.0,LOAD16,23.0,-1.6705
215,100.0,LOAD22,24.0,-1.528
216,100.0,LOAD21,15.0,-0.60433
217,100.0,LOAD23,229.0,227.5026
218,100.0,LOAD5,230.0,248.6307
219,100.0,LOAD10,325.0,250.5325
220,100.0,LOAD7,23.0,-1.528
221,100.0,LOAD2,53.0,-0.46184
222,100.0,LOAD6,204.0,226.1515
223,100.0,LOAD11,201.0,200.9842
224,100.0,LOAD20,5.0,-0.17685
225,100.0,LOAD14,170.0,170.2309
226,100.0,LOAD8,61.0,-2.2799
227,100.0,LOAD12,23.0,-4.4436
228,100.0,LOAD19,241.0,227.3258
229,100.0,LOAD15,236.0,226.1858
230,110.0,LOAD5,30.0,-4.4667
231,110.0,LOAD9,68.0,-1.8868
232,110.0,LOAD22,24.0,-1.528
233,110.0,LOAD19,241.0,227.3258
234,110.0,LOAD7,23.0,-1.528
235,110.0,LOAD10,325.0,250.5325
236,110.0,LOAD21,15.0,-0.60433
237,110.0,LOAD23,49.0,-0.28498
238,110.0,LOAD20,5.0,-0.17685
239,110.0,LOAD2,213.0,202.016
240,110.0,LOAD1,46.0,-1.9949
241,110.0,LOAD15,236.0,226.1858
242,110.0,LOAD16,23.0,-1.6705
243,110.0,LOAD17,46.0,-1.9949
244,110.0,LOAD6,24.0,-1.6361
245,110.0,LOAD14,170.0,170.2309
246,110.0,LOAD18,238.0,215.0984
247,110.0,LOAD12,23.0,-4.4436
248,110.0,LOAD11,201.0,200.9842
249,110.0,LOAD4,22.0,-2.2799
250,110.0,LOAD3,23.0,-4.0505
251,110.0,LOAD8,112.0,-6.6971
252,110.0,LOAD13,203.0,200.0555
253,120.0,LOAD12,23.0,-4.4436
254,120.0,LOAD21,155.0,176.5638
255,120.0,LOAD14,170.0,170.2309
256,120.0,LOAD23,49.0,-0.28498
257,120.0,LOAD22,24.0,-1.528
258,120.0,LOAD5,30.0,-4.4667
259,120.0,LOAD20,5.0,-0.17685
260,120.0,LOAD16,23.0,-1.6705
261,120.0,LOAD3,23.0,-4.0505
262,120.0,LOAD19,241.0,227.3258
263,120.0,LOAD9,68.0,-1.8868
264,120.0,LOAD8,346.0,-6.6971
265,120.0,LOAD10,475.0,440.3555
266,120.0,LOAD4,22.0,-2.2799
267,120.0,LOAD18,238.0,215.0984
268,120.0,LOAD17,46.0,-1.9949
269,120.0,LOAD13,203.0,200.0555
270,120.0,LOAD1,46.0,-1.9949
271,120.0,LOAD2,213.0,202.016
272,120.0,LOAD7,23.0,-1.528
273,120.0,LOAD11,201.0,200.9842
274,120.0,LOAD6,24.0,-1.6361
275,120.0,LOAD15,236.0,226.1858
276,130.0,LOAD21,155.0,176.5638
277,130.0,LOAD9,68.0,-1.8868
278,130.0,LOAD15,236.0,226.1858
279,130.0,LOAD22,24.0,-1.528
280,130.0,LOAD16,23.0,-1.6705
281,130.0,LOAD2,213.0,202.016
282,130.0,LOAD20,5.0,-0.17685
283,130.0,LOAD23,49.0,-0.28498
284,130.0,LOAD8,61.0,-2.2799
285,130.0,LOAD4,22.0,-2.2799
286,130.0,LOAD3,23.0,-4.0505
287,130.0,LOAD7,23.0,-1.528
288,130.0,LOAD14,170.0,170.2309
289,130.0,LOAD13,43.0,-2.4224
290,130.0,LOAD11,201.0,200.9842
291,130.0,LOAD5,210.0,223.3209
292,130.0,LOAD17,46.0,-1.9949
293,130.0,LOAD18,68.0,-0.034361
294,130.0,LOAD10,475.0,440.3555
295,130.0,LOAD19,401.0,429.8037
296,130.0,LOAD1,46.0,-1.9949
297,130.0,LOAD6,24.0,-1.6361
298,130.0,LOAD12,203.0,223.344
299,140.0,LOAD13,43.0,-2.4224
300,140.0,LOAD12,203.0,223.344
301,140.0,LOAD23,49.0,-0.28498
302,140.0,LOAD22,24.0,-1.528
303,140.0,LOAD18,68.0,-0.034361
304,140.0,LOAD8,61.0,-2.2799
305,140.0,LOAD17,46.0,-1.9949
306,140.0,LOAD6,24.0,-1.6361
307,140.0,LOAD16,23.0,-1.6705
308,140.0,LOAD20,365.0,455.3984
309,140.0,LOAD14,30.0,-6.9373
310,140.0,LOAD15,236.0,226.1858
311,140.0,LOAD2,213.0,202.016
312,140.0,LOAD5,210.0,223.3209
313,140.0,LOAD19,221.0,202.016
314,140.0,LOAD4,22.0,-2.2799
315,140.0,LOAD1,46.0,-1.9949
316,140.0,LOAD21,155.0,176.5638
317,140.0,LOAD11,201.0,200.9842
318,140.0,LOAD10,325.0,250.5325
319,140.0,LOAD9,68.0,-1.8868
320,140.0,LOAD3,23.0,-4.0505
321,140.0,LOAD7,23.0,-1.528
322,150.0,LOAD8,61.0,-2.2799
323,150.0,LOAD19,61.0,-0.46184
324,150.0,LOAD14,30.0,-6.9373
325,150.0,LOAD17,46.0,-1.9949
326,150.0,LOAD20,365.0,455.3984
327,150.0,LOAD18,68.0,-0.034361
328,150.0,LOAD7,23.0,-1.528
329,150.0,LOAD2,53.0,-0.46184
330,150.0,LOAD11,41.0,-1.4936
331,150.0,LOAD9,68.0,-1.8868
332,150.0,LOAD16,203.0,226.1171
333,150.0,LOAD6,24.0,-1.6361
334,150.0,LOAD1,46.0,-1.9949
335,150.0,LOAD10,125.0,-2.5649
336,150.0,LOAD4,22.0,-2.2799
337,150.0,LOAD21,175.0,201.8736
338,150.0,LOAD5,210.0,223.3209
339,150.0,LOAD15,56.0,-1.6018
340,150.0,LOAD22,24.0,-1.528
341,150.0,LOAD12,23.0,-4.4436
342,150.0,LOAD13,43.0,-2.4224
343,150.0,LOAD23,49.0,-0.28498
344,150.0,LOAD3,23.0,-4.0505
345,160.0,LOAD9,68.0,-1.8868
346,160.0,LOAD22,24.0,-1.528
347,160.0,LOAD8,201.0,174.8883
348,160.0,LOAD19,61.0,-0.46184
